"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112835987-113100987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113105987",0,NA,NA,NA,NA,NA
"112835987-113110987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113115987",1,0,2.37315904673056,0,1,NA
"112835987-113120987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113125987",0,NA,NA,NA,NA,NA
"112835987-113130987",0,NA,NA,NA,NA,NA
"112835987-113135987",0,NA,NA,NA,NA,NA
"112835987-113140987",0,NA,NA,NA,NA,NA
"112835987-113145987",0,NA,NA,NA,NA,NA
"112835987-113150987",0,NA,NA,NA,NA,NA
"112835987-113155987",0,NA,NA,NA,NA,NA
"112835987-113160987",0,NA,NA,NA,NA,NA
"112835987-113165987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113170987",0,NA,NA,NA,NA,NA
"112835987-113175987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
"112835987-113180987",0,NA,NA,NA,NA,NA
"112835987-113185987",0,NA,NA,NA,NA,NA
"112835987-113190987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112835987-113195987",0,NA,NA,NA,NA,NA
"112840987-112735987",0,NA,NA,NA,NA,NA
"112840987-112740987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112745987",0,NA,NA,NA,NA,NA
"112840987-112750987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-112755987",1,0,2.20047837175745,0,1,NA
"112840987-112760987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112765987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112775987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112840987-112780987",0,NA,NA,NA,NA,NA
"112840987-112785987",1,0,2.37315904673056,0,1,NA
"112840987-112790987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-112795987",1,0,2.20047837175745,0,1,NA
"112840987-112800987",2,1,2.51782469524219,0.397168238872885,0.691243401815098,NA
"112840987-112805987",1,0,2.37315904673056,0,1,NA
"112840987-112860987",1,0,2.20047837175745,0,1,NA
"112840987-112870987",2,1,2.51782469524219,0.397168238872885,0.691243401815098,NA
"112840987-112875987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-112880987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112840987-112885987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-112890987",0,NA,NA,NA,NA,NA
"112840987-112895987",2,1,2.51782469524219,0.397168238872885,0.691243401815098,NA
"112840987-112900987",0,NA,NA,NA,NA,NA
"112840987-112910987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112915987",0,NA,NA,NA,NA,NA
"112840987-112920987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-112925987",0,NA,NA,NA,NA,NA
"112840987-112930987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112935987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112940987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112945987",0,NA,NA,NA,NA,NA
"112840987-112950987",1,0,2.37315904673056,0,1,NA
"112840987-112955987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112960987",0,NA,NA,NA,NA,NA
"112840987-112965987",0,NA,NA,NA,NA,NA
"112840987-112970987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112975987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112980987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112985987",0,NA,NA,NA,NA,NA
"112840987-112990987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-112995987",0,NA,NA,NA,NA,NA
"112840987-113000987",0,NA,NA,NA,NA,NA
"112840987-113005987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113010987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113015987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113020987",0,NA,NA,NA,NA,NA
"112840987-113025987",0,NA,NA,NA,NA,NA
"112840987-113030987",0,NA,NA,NA,NA,NA
"112840987-113035987",0,NA,NA,NA,NA,NA
"112840987-113040987",0,NA,NA,NA,NA,NA
"112840987-113045987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112840987-113050987",1,0,2.37315904673056,0,1,NA
"112840987-113055987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113060987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113065987",0,NA,NA,NA,NA,NA
"112840987-113070987",0,NA,NA,NA,NA,NA
"112840987-113080987",0,NA,NA,NA,NA,NA
"112840987-113085987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113090987",0,NA,NA,NA,NA,NA
"112840987-113095987",0,NA,NA,NA,NA,NA
"112840987-113100987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113105987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113110987",0,NA,NA,NA,NA,NA
"112840987-113115987",0,NA,NA,NA,NA,NA
"112840987-113120987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113125987",0,NA,NA,NA,NA,NA
"112840987-113130987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113135987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113140987",0,NA,NA,NA,NA,NA
"112840987-113145987",0,NA,NA,NA,NA,NA
"112840987-113150987",0,NA,NA,NA,NA,NA
"112840987-113155987",0,NA,NA,NA,NA,NA
"112840987-113160987",0,NA,NA,NA,NA,NA
"112840987-113165987",0,NA,NA,NA,NA,NA
"112840987-113170987",0,NA,NA,NA,NA,NA
"112840987-113175987",0,NA,NA,NA,NA,NA
"112840987-113180987",0,NA,NA,NA,NA,NA
"112840987-113185987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112840987-113190987",1,0,2.37315904673056,0,1,NA
"112840987-113195987",0,NA,NA,NA,NA,NA
"112845987-112735987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112740987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112745987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112750987",1,0,2.20047837175745,0,1,NA
"112845987-112755987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112760987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112765987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112770987",0,NA,NA,NA,NA,NA
"112845987-112775987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112845987-112780987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112845987-112790987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112795987",2,1,2.51782469524219,0.397168238872885,0.691243401815098,NA
"112845987-112800987",1,0,2.37315904673056,0,1,NA
"112845987-112810987",1,0,2.20047837175745,0,1,NA
"112845987-112815987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112870987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112875987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112880987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112890987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112895987",0,NA,NA,NA,NA,NA
"112845987-112900987",1,0,2.20047837175745,0,1,NA
"112845987-112905987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
"112845987-112910987",0,NA,NA,NA,NA,NA
"112845987-112915987",0,NA,NA,NA,NA,NA
"112845987-112920987",1,0,2.37315904673056,0,1,NA
"112845987-112925987",0,NA,NA,NA,NA,NA
"112845987-112930987",1,0,2.20047837175745,0,1,NA
